Llistat del pla docent per estudi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre: ;;;6 - Facultat de Ciències, Tecnologia i Enginyeries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudi: ;;;Tots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curs acadèmic: ;;;2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identificador element;Centre;Descripció del Centre;Pla;Descripció del Pla;Codi de l'assignatura;Assignatura;Curs;Tipus de l?assignatura;Crèdits ECTS;Classe;Categoria;Tipologia;Grup;Observacions;Estudiants matriculats;places;Estudiants previstos assignatura;Estudiants màxim propis grup;Hores previstes per grup;Tipus del període;Valor del període;Torn;Idioma;Modalitat;Matricula Out;Altres plans de l?assignatura;Criteri d?assignació;Grup pare;EstudiGrup pare;Macrogrups fills;Matriculats fills;Identificador elementFill1;Identificador elementFill2;Identificador elementFill3;Identificador elementFill4;Identificador elementFill5;Identificador elementFill6;Identificador elementFill7;Identificador elementFill8;Identificador elementFill9;Identificador elementFill10;Identificador elementFill11;Identificador elementFill12;Identificador elementFill13;Identificador elementFill14;Identificador elementFill15;Identificador elementFill16;Identificador elementFill17;Identificador elementFill18;Identificador elementFill19;Identificador elementFill20;Identificador elementFill21;Identificador elementFill22;Identificador elementFill23
30_13390_1103;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13390;Bioestadística;2;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1103; ;0;24;90;24;60;S;1;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13390_1201;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13390;Bioestadística;2;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1201; ;0;24;90;24;60;S;1;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13390_1202;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13390;Bioestadística;2;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1202; ;0;24;90;24;60;S;1;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13390_1203;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13390;Bioestadística;2;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1203; ;0;24;90;24;60;S;1;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13391_11;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11;No informat;0;0;110;0;180;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;1;65;27_13047_11;;;;;;;;;;;;;;;;;;;;;;
30_13391_12;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12;No informat;54;65;110;65;180;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;1;0;27_13047_12;;;;;;;;;;;;;;;;;;;;;;
30_13391_13;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;13;No informat;21;45;110;45;180;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;1;16;27_13047_13;;;;;;;;;;;;;;;;;;;;;;
30_13391_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1101;No informat;0;30;110;30;60;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13391_1102;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1102;No informat;0;30;110;30;60;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13391_1201;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1201;No informat;0;30;110;30;60;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13391_1202;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1202;No informat;0;30;110;30;60;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13391_1301;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1301;No informat;0;30;110;30;60;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13391_1302;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13391;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1302;No informat;0;30;110;30;60;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_11;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;0;0;110;0;160;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;1;65;27_13045_11;;;;;;;;;;;;;;;;;;;;;;
30_13393_12;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;55;65;110;65;160;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;1;0;27_13045_12;;;;;;;;;;;;;;;;;;;;;;
30_13393_13;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;13; ;10;45;110;45;160;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;2;13;27_13045_13;30_13393_40;;;;;;;;;;;;;;;;;;;;;
30_13393_40;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;40; ;0;40;110;40;160;S;2;Torn Matí;Català;Presencial;0;;Manual;0;30_13393_13;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1101; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1102;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1102; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1103;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1103; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1104;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1104; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1201;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1201; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1202;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1202; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1203;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1203; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1204;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1204; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1301;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1301; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1302;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1302; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13393_1303;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13393;Química II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1303; ;0;16;110;16;80;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_11;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;0;0;96;0;210;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;1;73;27_13044_11;;;;;;;;;;;;;;;;;;;;;;
30_13406_12;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;69;80;96;80;210;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;1;0;27_13044_12;;;;;;;;;;;;;;;;;;;;;;
30_13406_13;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;13; ;0;45;96;45;210;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;1;0;27_13044_13;;;;;;;;;;;;;;;;;;;;;;
30_13406_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1101; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_1102;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1102; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_1103;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1103; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_1104;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1104; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_1201;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1201; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_1202;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1202; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_1203;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1203; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_1204;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1204; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13406_1301;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13406;Bioquímica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1301; ;0;16;96;16;30;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13408_11;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;0;0;90;0;160;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;1;73;27_13043_11;;;;;;;;;;;;;;;;;;;;;;
30_13408_12;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;66;75;90;75;160;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;1;0;27_13043_12;;;;;;;;;;;;;;;;;;;;;;
30_13408_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1101; ;0;16;90;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13408_1102;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1102; ;0;16;90;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13408_1103;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1103; ;0;16;90;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13408_1104;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1104; ;0;16;90;16;80;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13408_1201;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1201; ;0;16;90;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13408_1202;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1202; ;0;16;90;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13408_1203;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1203; ;0;16;90;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13408_1204;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13408;Biologia Vegetal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1204; ;0;16;90;16;80;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13409_11;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13409;Pràctiques Externes I;4;Pràctiques Curriculars;6;Pràctiques externes;PRACT. Externes/Extracurrriculars;Grup Classe;11;Totes les tutoritzacions de pràctiques excepte EAUT comptabilitzades aquí;3;25;35;25;0;S;1;Torn Mixt;Català;Presencial;0;1001,1002,1003,1009;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13409_12;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13409;Pràctiques Externes I;4;Pràctiques Curriculars;6;Pràctiques externes;PRACT. Externes/Extracurrriculars;Grup Classe;12;Totes les tutoritzacions de pràctiques excepte EAUT comptabilitzades aquí;7;25;35;25;0;S;2;Torn Mixt;Català;Presencial;0;1001,1002,1003,1009;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13409_32;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13409;Pràctiques Externes I;4;Pràctiques Curriculars;6;Pràctiques externes;PRACT. Externes/Extracurrriculars;Grup Classe;32;Totes les tutoritzacions de pràctiques excepte EAUT comptabilitzades aquí;9;25;35;25;0;S;2;Torn Mixt;Català;Presencial;0;1001,1002,1003,1009;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13409_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13409;Pràctiques Externes I;4;Pràctiques Curriculars;6;Pràctiques externes;PRACT. Externes/Extracurrriculars;Tutories Altra Activitat Acadèmica;1101;Totes les tutoritzacions de pràctiques excepte EAUT comptabilitzades aquí;0;0;35;0;500;S;2;Torn Mixt;Català; ;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13409_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13409;Pràctiques Externes I;4;Pràctiques Curriculars;6;Pràctiques externes;PRACT. Externes/Extracurrriculars;Tutoritzacions Fora Dedicació;1101;Totes les tutoritzacions de pràctiques excepte EAUT comptabilitzades aquí;0;0;35;0;500;S;1;Torn Mixt;Català; ;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13409_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13409;Pràctiques Externes I;4;Pràctiques Curriculars;6;Pràctiques externes;PRACT. Externes/Extracurrriculars;Tutoritzacions de pràctiques externes o de TFG/TFM;1101;Totes les tutoritzacions de pràctiques excepte EAUT comptabilitzades aquí;0;0;35;0;500;S;1;Torn Mixt;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13414_11;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13414;Treball de Fi de Grau;4;Treball fi de grau;12;Treball de fi de grau;TFG/TFM;Grup Classe;11;No informat;5;20;40;20;0;S;1;Torn Matí;Català;Presencial;0;1001,1002,1003,1009;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13414_12;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13414;Treball de Fi de Grau;4;Treball fi de grau;12;Treball de fi de grau;TFG/TFM;Grup Classe;12;No informat;5;30;40;30;0;S;2;Torn Matí;Català;Presencial;0;1001,1002,1003,1009;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13414_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13414;Treball de Fi de Grau;4;Treball fi de grau;12;Treball de fi de grau;TFG/TFM;Tribunals de TFG i TFM;1101;No informat;0;0;40;0;120;S;1;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13414_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13414;Treball de Fi de Grau;4;Treball fi de grau;12;Treball de fi de grau;TFG/TFM;Tutories Altra Activitat Acadèmica;1101;No informat;0;0;40;0;600;S;2;Torn Matí;Català; ;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13414_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13414;Treball de Fi de Grau;4;Treball fi de grau;12;Treball de fi de grau;TFG/TFM;Tutoritzacions Fora Dedicació;1101;No informat;0;0;40;0;600;S;1;Torn Matí;Català; ;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13414_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13414;Treball de Fi de Grau;4;Treball fi de grau;12;Treball de fi de grau;TFG/TFM;Tutoritzacions de pràctiques externes o de TFG/TFM;1101;No informat;0;0;40;0;600;S;1;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_11;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;0;0;110;0;160;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;1;67;27_13042_11;;;;;;;;;;;;;;;;;;;;;;
30_13419_12;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;54;65;110;65;160;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;1;0;27_13042_12;;;;;;;;;;;;;;;;;;;;;;
30_13419_13;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;13; ;23;45;110;45;160;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;1;21;27_13042_13;;;;;;;;;;;;;;;;;;;;;;
30_13419_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1101; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1102;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1102; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1103;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1103; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1104;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1104; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1201;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1201; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1202;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1202; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1203;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1203; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1204;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1204; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1301;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1301; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1302;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1302; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13419_1303;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13419;Química I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1303; ;0;16;110;16;80;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13443_11;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13443;Geologia;2;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;35;55;45;55;160;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13443_1101;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13443;Geologia;2;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1101; ;0;16;45;16;80;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
30_13443_1102;6;Facultat de Ciències, Tecnologia i Enginyeries;30;Biologia;13443;Geologia;2;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1102; ;0;16;45;16;80;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
