Llistat del pla docent per estudi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre: ;;;6 - Facultat de Ciències, Tecnologia i Enginyeries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudi: ;;;Tots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curs acadèmic: ;;;2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identificador element;Centre;Descripció del Centre;Pla;Descripció del Pla;Codi de l'assignatura;Assignatura;Curs;Tipus de l?assignatura;Crèdits ECTS;Classe;Categoria;Tipologia;Grup;Observacions;Estudiants matriculats;places;Estudiants previstos assignatura;Estudiants màxim propis grup;Hores previstes per grup;Tipus del període;Valor del període;Torn;Idioma;Modalitat;Matricula Out;Altres plans de l?assignatura;Criteri d?assignació;Grup pare;EstudiGrup pare;Macrogrups fills;Matriculats fills;Identificador elementFill1;Identificador elementFill2;Identificador elementFill3;Identificador elementFill4;Identificador elementFill5;Identificador elementFill6;Identificador elementFill7;Identificador elementFill8;Identificador elementFill9;Identificador elementFill10;Identificador elementFill11;Identificador elementFill12;Identificador elementFill13;Identificador elementFill14;Identificador elementFill15;Identificador elementFill16;Identificador elementFill17;Identificador elementFill18;Identificador elementFill19;Identificador elementFill20;Identificador elementFill21;Identificador elementFill22;Identificador elementFill23
25_13071_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13071;Disseny Assistit per Ordinador;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;15; ;47;65;24;65;120;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13071_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13071;Disseny Assistit per Ordinador;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1501; ;0;24;24;24;120;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13071_1502;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13071;Disseny Assistit per Ordinador;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1502; ;0;24;24;24;120;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13073_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13073;Matemàtiques II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;15; ;75;75;40;75;180;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13073_16;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13073;Matemàtiques II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;16; ;2;60;40;60;180;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13073_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13073;Matemàtiques II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1501; ;0;30;40;30;60;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13073_1601;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13073;Matemàtiques II;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1601; ;0;30;40;30;60;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13074_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13074;Física Elèctrica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;15; ;75;75;40;75;180;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;1;0;25_13074_40;;;;;;;;;;;;;;;;;;;;;;
25_13074_16;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13074;Física Elèctrica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;16; ;3;60;40;60;180;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13074_40;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13074;Física Elèctrica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;40; ;0;5;40;5;180;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;25_13074_15;0;0;;;;;;;;;;;;;;;;;;;;;;;
